City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Odweyne,SO,9.4092,45.064,68.11,61,97,20.36,overcast clouds
329,Souillac,MU,-20.5167,57.5167,69.13,73,18,19.75,light rain
330,Lazaro Cardenas,MX,17.9583,-102.2,84.81,73,55,9.4,broken clouds
331,Mehamn,NO,71.0357,27.8492,53.51,93,40,2.3,scattered clouds
332,Areia Branca,BR,-4.9561,-37.1369,77.31,74,69,17.34,broken clouds
333,Eirunepe,BR,-6.6603,-69.8736,79.86,63,95,1.19,overcast clouds
334,Okha,RU,53.5739,142.9478,73.24,66,79,13.87,broken clouds
335,Kisangani,CD,0.5167,25.2,76.86,58,76,2.53,broken clouds
336,Pacific Grove,US,36.6177,-121.9166,75.42,78,0,10.36,clear sky
337,Choya,RU,52.0108,86.5467,59.52,96,36,1.19,scattered clouds
338,Kimbe,PG,-5.5502,150.1429,86.54,61,41,1.59,scattered clouds
339,Iaciara,BR,-14.0958,-46.6317,71.06,37,5,6.89,clear sky
340,Koroni,GR,36.8,21.95,71.31,70,0,8.39,clear sky
341,Gillette,US,44.2911,-105.5022,94.86,18,0,11.5,clear sky
342,Logan,US,41.7355,-111.8344,98.26,19,0,6.91,clear sky
343,Avera,US,33.194,-82.5271,78.85,72,92,7.18,overcast clouds
